N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.5,202.93,rice
85,58,41,21.77,80.31,7.0,226.65,rice
60,55,44,23.00,60.00,6.2,120.00,maize
40,60,45,22.00,65.00,6.3,110.00,chickpea
45,58,38,24.00,70.00,6.5,115.00,kidneybeans
50,40,30,25.00,75.00,6.2,130.00,pigeonpeas
35,38,32,28.00,65.00,6.1,95.00,mothbeans
40,35,25,27.00,68.00,6.4,100.00,mungbean
38,30,28,26.00,72.00,6.3,105.00,blackgram
42,33,30,24.00,69.00,6.6,108.00,lentil
20,15,25,30.00,80.00,6.8,150.00,pomegranate
18,20,22,29.00,85.00,6.5,170.00,banana
22,18,20,27.00,75.00,6.7,140.00,mango
25,20,18,26.00,78.00,6.6,135.00,grapes
28,22,24,31.00,70.00,6.4,120.00,watermelon
26,21,23,30.00,68.00,6.5,115.00,muskmelon
15,10,18,21.00,65.00,6.8,100.00,apple
16,12,20,23.00,67.00,6.9,105.00,orange
19,14,22,28.00,72.00,6.6,130.00,papaya
17,11,19,29.00,88.00,6.7,200.00,coconut
55,35,40,27.00,60.00,6.2,90.00,cotton
60,40,45,26.00,65.00,6.3,95.00,jute
45,30,35,24.00,70.00,6.4,120.00,coffee
65,40,40,22.50,60.00,6.4,90.00,wheat
60,38,35,21.00,58.00,6.5,85.00,barley
50,30,35,25.00,70.00,6.3,100.00,soybean
45,28,30,26.00,65.00,6.2,95.00,sunflower
48,32,34,27.00,68.00,6.3,105.00,groundnut
70,50,45,28.00,75.00,6.4,180.00,sugarcane
40,25,30,20.00,60.00,6.6,85.00,mustard
35,20,25,24.00,70.00,6.5,120.00,turmeric
30,18,22,23.00,72.00,6.4,110.00,ginger
25,20,24,26.00,68.00,6.3,100.00,tomato
55,35,40,24.00,65.00,6.5,95.00,cotton
45,30,35,23.00,60.00,6.4,90.00,jute
38,25,28,22.00,58.00,6.6,85.00,radish
40,28,30,21.00,60.00,6.5,80.00,carrot
42,26,32,22.50,62.00,6.4,85.00,beetroot
35,22,25,23.00,65.00,6.3,90.00,spinach
36,24,26,24.00,66.00,6.5,92.00,lettuce
48,30,35,25.00,68.00,6.4,100.00,cucumber
50,32,38,26.00,70.00,6.3,105.00,pumpkin
47,29,34,25.50,67.00,6.4,98.00,bitter_gourd
46,28,33,25.00,66.00,6.3,97.00,ridge_gourd
44,27,31,24.50,65.00,6.5,95.00,bottle_gourd
52,33,37,26.00,69.00,6.4,102.00,watermelon
53,34,39,27.00,70.00,6.3,104.00,muskmelon
60,40,42,28.00,72.00,6.5,150.00,banana
58,38,40,27.50,71.00,6.4,140.00,papaya
62,42,44,29.00,75.00,6.3,160.00,mango
54,36,38,26.00,68.00,6.4,110.00,guava
